epoch time,date & time,smell value,skewed latitude,skewed longitude,zipcode,smell description,symptoms,additional comments
1577857682,01/01/2020 00:48:02 -05:00,3,40.3077,-79.8609,15037,us steel clairton,headache,it has been one smelly and miserable breathing holiday season.  Hope 2020 is better and it will be when you fix these monitors cause they are not working Instead of looking at them you should spend so time in this area Lincoln Boro
1577883411,01/01/2020 07:56:51 -05:00,3,40.3078,-79.8609,15037,u s steel clairton,,
1577889355,01/01/2020 09:35:55 -05:00,4,40.3462,-79.9345,15122,Particulate matter And industrial,"Tightness in chest, stuffy head, difficulty breathing",
1577893514,01/01/2020 10:45:14 -05:00,1,40.4304,-79.8953,15218,,,"Beautiful day in Regent Square, thanks to the western winds keeping the coke pollution at bay. "
1577898067,01/01/2020 12:01:07 -05:00,1,40.4359,-79.8929,15221,,,
1577898315,01/01/2020 12:05:15 -05:00,4,40.306,-79.864,15037,chemical ,,
1577900354,01/01/2020 12:39:14 -05:00,3,40.2928,-79.8948,15025,Rotten eggs ammonia ,Headache,Another holiday another pollution dump
1577900767,01/01/2020 12:46:07 -05:00,5,40.4591,-79.9311,15206,"Rotten eggs, sewage ","Headache, sore throat nausea ",
1577901982,01/01/2020 13:06:22 -05:00,3,40.3829,-80.0974,15017,"Woodsmoke, industrial",,
1577902474,01/01/2020 13:14:34 -05:00,1,40.3508,-79.8898,15034,,,
1577905213,01/01/2020 14:00:13 -05:00,3,40.4664,-79.9629,15201,,,
1577906686,01/01/2020 14:24:46 -05:00,1,40.4443,-79.9248,15217,,,
1577907016,01/01/2020 14:30:16 -05:00,1,40.4299,-79.8609,15221,,,
1577910815,01/01/2020 15:33:35 -05:00,1,40.3508,-79.8931,15034,,,
1577914571,01/01/2020 16:36:11 -05:00,1,40.3048,-80.0476,15102,,,
1577916369,01/01/2020 17:06:09 -05:00,1,40.4773,-79.926,15206,,,
1577923343,01/01/2020 19:02:23 -05:00,1,40.4417,-79.9235,15217,,,
1577923409,01/01/2020 19:03:29 -05:00,4,40.3185,-79.8984,15025,,,
1577925727,01/01/2020 19:42:07 -05:00,4,40.384,-80.0026,15234,Industrial..rotten eggs,Headache and nose is stinging,"And happy new stinking year!  Ever day on this hill near Carmalt school we get all the pollution
  Why did the Health department take down the monitoring station here?  We had one until 8ish years ago."
1577931707,01/01/2020 21:21:47 -05:00,3,40.3798,-79.8629,15110,Industrial ,Eye irritation ,
1577932133,01/01/2020 21:28:53 -05:00,4,40.4268,-79.7933,15146,,,
1577932775,01/01/2020 21:39:35 -05:00,5,40.4373,-79.8962,15221,Woodsmoke,,
1577935111,01/01/2020 22:18:31 -05:00,5,40.4031,-79.8424,15104,"Acrid, trashy, rotten, putrid, toxic","Watery eyes, itchy irritated eyes, burning in my eyes and nostrils",We suffered through the same toxic mess last year. Please support the health of residents in the Mon Valley.
1577937701,01/01/2020 23:01:41 -05:00,4,40.4232,-79.8618,15221,Bad eggs,,
1577938581,01/01/2020 23:16:21 -05:00,4,40.4753,-79.8336,15235,industrial ,bothers eyes and difficulty breathing ,
1577941123,01/01/2020 23:58:43 -05:00,4,40.6255,-79.7175,15065,Toxic sulfur smell,,
1577941915,01/02/2020 00:11:55 -05:00,3,40.4335,-79.9242,15217,"Industrial exhaust, sulfur",,
1577945790,01/02/2020 01:16:30 -05:00,4,40.43,-79.8469,15221,Rotten eggs ,"Irritating nose, throat and eyes.  Can’t breathe that in ",
1577960034,01/02/2020 05:13:54 -05:00,5,40.4255,-79.8532,15221,Rotten eggs,,
1577962569,01/02/2020 05:56:09 -05:00,5,40.3646,-79.8616,15122,"Hydrogen sulfate, sulfur dioxide, Clairton Works and Irvin Works",,
1577964143,01/02/2020 06:22:23 -05:00,3,40.4481,-79.8568,15235,Industrial pollution ,Instant head tighness,
1577964875,01/02/2020 06:34:35 -05:00,5,40.4756,-79.8357,15235,industrial ,hard to breathe and bothers eyes ,
1577968136,01/02/2020 07:28:56 -05:00,4,40.442,-79.8541,15235,,,
1577968399,01/02/2020 07:33:19 -05:00,3,40.4241,-79.8602,15221,"Industrial, sulfur",,
1577969969,01/02/2020 07:59:29 -05:00,5,40.4356,-79.8598,15221,Industrial,Headache,
1577970053,01/02/2020 08:00:53 -05:00,3,40.4362,-79.8617,15221,Sulphur,,Why
1577970710,01/02/2020 08:11:50 -05:00,3,40.4339,-79.8951,15218,,,
1577971489,01/02/2020 08:24:49 -05:00,3,40.4205,-79.8851,15218,,,
1577975158,01/02/2020 09:25:58 -05:00,4,40.4237,-79.8433,15221,Rotten eggs,Burning eyes,WILL THIS EVER HAVE AN END!!!!
1577977230,01/02/2020 10:00:30 -05:00,1,40.4628,-79.969,15201,,,
1577977236,01/02/2020 10:00:36 -05:00,3,40.4842,-80.0473,15212,,,
